Data;Descrizione;Importo
02/01/2026;ACCREDITO STIPENDIO GENNAIO;1.780,00
03/01/2026;ADDEBITO SDD AFFITTO ABITAZIONE;-620,00
04/01/2026;PAGAMENTO POS SUPERMERCATO ESSELUNGA;-87,40
05/01/2026;ADDEBITO SDD ABBONAMENTO STREAMING;-12,99
07/01/2026;COMMISSIONE PRELIEVO ATM ALTRO ISTITUTO;-2,50
07/01/2026;PRELIEVO ATM;-150,00
09/01/2026;PAGAMENTO POS FARMACIA;-23,80
12/01/2026;ADDEBITO SDD ABBONAMENTO PALESTRA;-39,00
14/01/2026;PAGAMENTO POS SUPERMERCATO CONAD;-64,15
16/01/2026;ADDEBITO BOLLETTA ENERGIA ELETTRICA;-78,22
18/01/2026;PAGAMENTO POS 4471;-31,00
20/01/2026;ADDEBITO SDD ABBONAMENTO MUSICA;-10,99
22/01/2026;RICARICA ABBONAMENTO TRASPORTO PUBBLICO;-35,00
25/01/2026;PAGAMENTO POS SUPERMERCATO ESSELUNGA;-92,60
28/01/2026;CANONE MENSILE CONTO CORRENTE;-6,00
31/01/2026;IMPOSTA DI BOLLO C/C TRIMESTRE;-8,55
02/02/2026;ACCREDITO STIPENDIO FEBBRAIO;1.780,00
03/02/2026;ADDEBITO SDD AFFITTO ABITAZIONE;-620,00
05/02/2026;ADDEBITO SDD ABBONAMENTO STREAMING;-12,99
06/02/2026;PAGAMENTO POS SUPERMERCATO CONAD;-71,30
08/02/2026;RATA FINANZIAMENTO ELETTRODOMESTICO 3/12;-48,90
10/02/2026;COMMISSIONE PRELIEVO ATM ALTRO ISTITUTO;-2,50
10/02/2026;PRELIEVO ATM;-100,00
12/02/2026;ADDEBITO SDD ABBONAMENTO PALESTRA;-39,00
15/02/2026;ADDEBITO BOLLETTA GAS;-112,40
17/02/2026;PAGAMENTO POS RISTORANTE;-46,00
20/02/2026;ADDEBITO SDD ABBONAMENTO MUSICA;-10,99
21/02/2026;PAGAMENTO POS SUPERMERCATO ESSELUNGA;-88,75
23/02/2026;PAGAMENTO POS 8832;-19,50
26/02/2026;RICARICA ABBONAMENTO TRASPORTO PUBBLICO;-35,00
28/02/2026;CANONE MENSILE CONTO CORRENTE;-6,00
02/03/2026;ACCREDITO STIPENDIO MARZO;1.780,00
03/03/2026;ADDEBITO SDD AFFITTO ABITAZIONE;-620,00
05/03/2026;ADDEBITO SDD ABBONAMENTO STREAMING;-12,99
07/03/2026;PAGAMENTO POS SUPERMERCATO CONAD;-79,05
08/03/2026;RATA FINANZIAMENTO ELETTRODOMESTICO 4/12;-48,90
11/03/2026;COMMISSIONE PRELIEVO ATM ALTRO ISTITUTO;-2,50
11/03/2026;PRELIEVO ATM;-120,00
12/03/2026;ADDEBITO SDD ABBONAMENTO PALESTRA;-39,00
14/03/2026;ADDEBITO BOLLETTA ENERGIA ELETTRICA;-83,10
18/03/2026;PAGAMENTO POS LIBRERIA;-27,90
20/03/2026;ADDEBITO SDD ABBONAMENTO MUSICA;-10,99
24/03/2026;PAGAMENTO POS SUPERMERCATO ESSELUNGA;-95,20
26/03/2026;RICARICA ABBONAMENTO TRASPORTO PUBBLICO;-35,00
28/03/2026;CANONE MENSILE CONTO CORRENTE;-6,00
31/03/2026;IMPOSTA DI BOLLO C/C TRIMESTRE;-8,55
